ID QUÀ,TÊN QUÀ,ẢNH QUÀ,ĐƠN GIÁ KC,KHU VỰC
1,Flower,https://static-comm.bigolive.tv/as/pgc-live-manage/g2/M09/00/AE/nXfpA1hjcFWIOfPLAABawR7L2_oAADcPAASpkMAAFrZ604.png?token=ak_yycall:dqaswszAmgU5p780ijG0Am_9ZAA=:0,1,VN
9,Kiss,https://static-comm.bigolive.tv/as/pgc-live-manage/g1/M08/02/36/LXz8F1hkgTaIbE5NAABU8DbBR8EAADdPQCSJjgAAFUI577.png?token=ak_yycall:AmJsfvbZfcnZ37KSBFJhMUe-hMs=:0,2,VN
1023,Swarovski,https://static-comm.bigolive.tv/as/pgc-live-manage/g1/M09/02/36/LXz8F1hkgRuIC2stAABfzSiHFN0AADdOAI8GP4AAF_l719.png?token=ak_yycall:-18ft0gvB3IolapDIP3gKvafxxY=:0,30,VN
1270,Flowers,https://static-comm.bigolive.tv/as/pgc-live-manage/g2/M0B/02/8A/nXfpA1o3jHmIZJtnAADLHbHBJsoAAMwBwP39KIAAMs1071.png,50,VN
1935,Kiss me,https://static-comm.bigolive.tv/as/pgc-live-manage/7h1/M0A/6F/C3/tPobAFxUWdqIFFcLAAAd9hRhY7cAAAYMQDxHXgAAB4O464.png,500,VN
2200,Rose Box,https://static-comm.bigolive.tv/as/pgc-live-manage/7h1/M07/BB/4C/svobAFy9kh-Ibf91AACz-5mVg2kAAsRrAB-4U8AALQT772.png,199,VN
2211,Star Goddess,https://static-comm.bigolive.tv/as/pgc-live-manage/7h1/M08/B8/AB/s_obAFzAAIGIEUHFAADZ5udKNtQAAzfgwD9738AANn-514.png,200,VN
2784,Love Balloon,https://static-comm.bigolive.tv/as/pgc-live-manage/7h4/M09/39/CE/bPsbAF2nQ-6IFXDRAACVU4wIlQsAA2iQgMb9IwAAJVr852.png,100,VN
3122,💕Love Car,https://static-comm.bigolive.tv/as/pgc-live-manage/7h2/M04/2E/A2/8fobAF4j9rqIFBrWAAAwBwWnTzkAA2cTwPfuGsAADAf196.png,100,VN
3123,Rose Rocket,https://static-comm.bigolive.tv/as/pgc-live-manage/7h2/M0A/2E/E5/8fobAF4j9-qITCh6AAAsawNsR-oAA2cvQGD3ooAACyD185.png,1000,VN
